transaction_id,arrival_time,service_time_min,wait_time_min,transaction_type,teller_id,abandoned,response_time_min,handled,queue_length_at_arrival
1,10/21/2025 11:03,4.1,0,Transfer,T1,FALSE,4.1,TRUE,0
2,10/21/2025 11:03,4.1,0,Transfer,T2,FALSE,4.1,TRUE,0
3,10/21/2025 11:09,4,0,Withdrawal,T3,FALSE,4,TRUE,0
4,10/21/2025 11:09,2.6,0,Pay Order,T1,FALSE,2.6,TRUE,0
5,10/21/2025 11:11,3,0,Deposit,T2,FALSE,3,TRUE,0
6,10/21/2025 11:12,9.7,0,Deposit,T1,FALSE,9.7,TRUE,0
7,10/21/2025 11:16,2.3,0,Balance Check,T3,FALSE,2.3,TRUE,0
8,10/21/2025 11:19,5.6,0,Deposit,T2,FALSE,5.6,TRUE,0
9,10/21/2025 11:19,2.3,0,Deposit,T3,FALSE,2.3,TRUE,0
10,10/21/2025 11:20,4,1.2,Withdrawal,T3,FALSE,5.2,TRUE,0
11,10/21/2025 11:21,12.7,1,Pay Order,T1,FALSE,13.8,TRUE,0
12,10/21/2025 11:21,3.3,3.4,Deposit,T2,FALSE,6.7,TRUE,0
13,10/21/2025 11:22,30,3.5,Pay Order,T3,FALSE,33.5,TRUE,0
14,10/21/2025 11:23,2,5.5,Deposit,T2,FALSE,7.5,TRUE,0
15,10/21/2025 11:25,1,5.4,Withdrawal,T2,FALSE,6.4,TRUE,0
16,10/21/2025 11:26,9.5,5.4,Balance Check,T2,FALSE,14.9,TRUE,0
17,10/21/2025 11:26,4.7,9,Loan Inquiry,T1,FALSE,13.6,TRUE,0
18,10/21/2025 11:26,5.1,13.2,Transfer,T1,FALSE,18.3,TRUE,0
19,10/21/2025 11:29,10.3,11.9,Loan Inquiry,T2,FALSE,22.2,TRUE,0
20,10/21/2025 11:30,7.9,14.8,Pay Order,T1,FALSE,22.7,TRUE,0
21,10/21/2025 11:31,1.3,20.2,Deposit,T2,FALSE,21.6,TRUE,0
22,10/21/2025 11:31,5.9,21.1,Transfer,T2,FALSE,27,TRUE,0
23,10/21/2025 11:31,7.1,21.2,Deposit,T1,FALSE,28.2,TRUE,0
24,10/21/2025 11:34,1,21.7,Deposit,T3,FALSE,22.7,TRUE,0
25,10/21/2025 11:34,1,22.1,Balance Check,T3,FALSE,23.1,TRUE,0
26,10/21/2025 11:35,8.3,22.9,Deposit,T3,FALSE,31.1,TRUE,0
27,10/21/2025 11:35,2.2,23,Deposit,T2,FALSE,25.3,TRUE,0
28,10/21/2025 11:39,1.2,20.8,Transfer,T1,FALSE,22,TRUE,0
29,10/21/2025 11:39,1.4,21.6,Pay Order,T2,FALSE,22.9,TRUE,0
